example_id                                                             | status | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed | 0.00769 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed | 0.00542 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed | 0.00677 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed | 0.00188 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed | 0.00789 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed | 0.00478 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed | 0.00543 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed | 0.00621 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed | 0.00592 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed | 0.00467 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed | 0.00608 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed | 0.00536 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed | 0.00632 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed | 0.00149 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed | 0.0114 seconds  |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed | 0.00168 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed | 0.00787 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed | 0.00717 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed | 0.00726 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed | 0.00635 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed | 0.01537 seconds |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed | 0.03066 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed | 0.03633 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed | 0.03893 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed | 0.02912 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed | 0.04047 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed | 0.03543 seconds |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed | 0.01074 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed | 0.01207 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed | 0.0112 seconds  |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed | 0.01304 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed | 0.01121 seconds |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed | 0.05434 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed | 0.04873 seconds |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed | 0.0468 seconds  |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed | 0.0429 seconds  |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed | 0.05634 seconds |
./spec/requests/checkout_with_views_spec.rb[1:1:1:1]                   | passed | 0.06552 seconds |
./spec/requests/checkouts_spec.rb[1:1:1]                               | passed | 0.0556 seconds  |
./spec/requests/checkouts_spec.rb[1:1:2]                               | passed | 0.03976 seconds |
./spec/requests/checkouts_spec.rb[1:1:3]                               | passed | 0.04243 seconds |
./spec/requests/checkouts_spec.rb[1:1:4]                               | passed | 0.03898 seconds |
./spec/requests/checkouts_spec.rb[1:1:5]                               | passed | 0.04187 seconds |
